region,x_turtle,y_turtle,x_pixel,y_pixel,conf
4,0.0,190.0,256,177,75.476906
North,-59.5,145.5,196,222,68.444641
Star,-34.5,147.0,221,220,96.708221
Ri,-28.5,122.5,227,245,88.192635
BRITISH,-210.0,92.5,46,275,93.814941
COLUMBIA,-210.5,79.5,45,288,83.276604
Paul,176.5,-21.0,432,388,75.963913
Edson,-30.0,-49.0,226,416,63.761444
Stony,7.0,-64.0,263,431,93.564819
Drayton,-45.0,-75.0,211,442,95.440811
"Vale,",5.5,-76.5,261,444,61.625141
‘Viking,147.5,-80.5,403,448,66.248962
Hanna,144.5,-177.0,400,544,76.797409
ces,155.5,-216.0,411,583,76.922127
Mestward,-12.5,-178.5,243,546,61.348202
River,95.0,-254.5,351,622,66.612541
\,115.5,-248.5,371,616,73.232956
Hat,246.5,-277.5,502,645,94.053818
ALBERTA.,-209.0,-241.5,47,609,73.36348
Brooks,152.5,-244.0,408,611,89.08049
“Grassy,161.5,-303.0,417,670,68.870117
Lake,191.0,-302.0,447,669,89.115417
“Lethbridge,122.0,-314.0,378,681,64.168785
BOUNDARIES,-198.0,-305.5,58,673,93.381912
